Library,BarCode,Category,Read
SLX-10281,D712_D502,Mapped,67738909
SLX-10281,D712_D503,Mapped,61239584
SLX-10281,D712_D504,Mapped,103082416
SLX-10281,D712_D505,Mapped,69494827
SLX-10281,D712_D506,Mapped,61430726
SLX-10281,D712_D507,Mapped,70121276
SLX-10281,D712_D508,Mapped,60536856
SLX-10281,D701_D501,Rescued,25509201
SLX-10281,D701_D502,Rescued,36480606
SLX-10281,D701_D503,Rescued,25725137
SLX-10281,D701_D504,Rescued,28363904
SLX-10281,D701_D505,Rescued,37360561
SLX-10281,D701_D506,Rescued,39906585
SLX-10281,D701_D507,Rescued,42796119
SLX-10281,D701_D508,Rescued,43377437
SLX-10281,D702_D501,Rescued,38082711
SLX-10281,D702_D502,Rescued,34289644
SLX-10281,D702_D505,Rescued,24920866
SLX-10281,D702_D506,Rescued,27290268
SLX-10281,D702_D507,Rescued,17478564
SLX-10281,D702_D508,Rescued,33261717
SLX-10281,D711_D501,Rescued,41546077
SLX-10281,D711_D502,Rescued,27920197
SLX-10281,D711_D503,Rescued,24001896
SLX-10281,D711_D504,Rescued,28866092
SLX-10281,D711_D505,Rescued,23471588
SLX-10281,D711_D506,Rescued,27081188
SLX-10281,D712_D501,Rescued,32742068
SLX-10281,D712_D502,Rescued,30906777
SLX-10281,D712_D503,Rescued,36703570
SLX-10281,D712_D504,Rescued,40401227
SLX-10281,D712_D505,Rescued,37748397
SLX-10281,D712_D506,Rescued,40240517
SLX-10281,D712_D507,Rescued,25901428
SLX-10281,D712_D508,Rescued,22747626
SLX-10281,D701_D501,Unmapped,5229126
SLX-10281,D701_D502,Unmapped,6375995
SLX-10281,D701_D503,Unmapped,4697104
SLX-10281,D701_D504,Unmapped,5536040
SLX-10281,D701_D505,Unmapped,6364201
SLX-10281,D701_D506,Unmapped,6026637
SLX-10281,D701_D507,Unmapped,6362902
SLX-10281,D701_D508,Unmapped,6185593
SLX-10281,D702_D501,Unmapped,6211758
SLX-10281,D702_D502,Unmapped,5559163
SLX-10281,D702_D505,Unmapped,5116716
SLX-10281,D702_D506,Unmapped,5744995
SLX-10281,D702_D507,Unmapped,4011592
SLX-10281,D702_D508,Unmapped,6984449
SLX-10281,D711_D501,Unmapped,9291959
SLX-10281,D711_D502,Unmapped,6945543
SLX-10281,D711_D503,Unmapped,5886889
SLX-10281,D711_D504,Unmapped,6358853
SLX-10281,D711_D505,Unmapped,5437939
SLX-10281,D711_D506,Unmapped,6299846
SLX-10281,D712_D501,Unmapped,6372733
SLX-10281,D712_D502,Unmapped,5974488
SLX-10281,D712_D503,Unmapped,6305596
SLX-10281,D712_D504,Unmapped,8403664
SLX-10281,D712_D505,Unmapped,6619690
SLX-10281,D712_D506,Unmapped,6338366
SLX-10281,D712_D507,Unmapped,5850276
SLX-10281,D712_D508,Unmapped,4733255
SLX-10402,D704_D501,Mapped,64867708
SLX-10402,D704_D502,Mapped,51505375
SLX-10402,D704_D503,Mapped,52269395
SLX-10402,D704_D504,Mapped,57984847
SLX-10402,D704_D505,Mapped,71349505
SLX-10402,D704_D506,Mapped,75206838
SLX-10402,D704_D507,Mapped,63384467
SLX-10402,D704_D508,Mapped,62407919
SLX-10402,D705_D501,Mapped,57505798
SLX-10402,D705_D502,Mapped,62527233
SLX-10402,D705_D503,Mapped,60557544
SLX-10402,D705_D504,Mapped,62636573
SLX-10402,D705_D505,Mapped,70958073
SLX-10402,D705_D506,Mapped,59887809
SLX-10402,D705_D507,Mapped,70077676
